Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
CL(10:0/21:0/22:0/22:0),0.006030404,0.066547103,0.009516393,0.136151971,0.028365255,0.263737604,0.001225311,0.005500562,0.002403469,0.001104743,0.020595029,0.002897791,0.131657731,0.001544643,0.002503369,0.045170633,0.010115242,0.003391297,0.027019878,0.001539905
"CL(11:0/18:2(9Z,11Z)/21:0/a-21:0)",0.110203749,0.961219453,0.232299426,5.288625897,0.395107379,4.92671925,0.068932276,0.235536566,0.037631556,0.057350418,0.809700986,0.144194067,4.35050947,0.106986411,0.202162543,3.760033859,0.467751908,0.111442059,1.547297866,0.132380786
"CL(11:0/18:2(9Z,11Z)/22:0/22:0)",0.005855821,0.007016451,0.007071791,0.150871142,0.023744221,0.09519011,0.000923651,0.00447375,0.004140583,0.012443977,0.018971126,0.00762971,0.200635301,0.00328785,0.008897378,0.093690878,0.021774664,0.007832249,0.077427648,0.005698574
"CL(12:0/16:0/18:2(9Z,11Z)/24:0)",0.016562548,0.105581445,0.019699987,0.621730437,0.071875401,0.536950424,0.017778327,0.016614651,0.009072946,0.009908488,0.111240525,0.024680348,0.813632738,0.003902197,0.014797017,0.205135563,0.062130202,0.013231211,0.765751892,0.029735106
"CL(16:0/16:0/18:2(9Z,11Z)/24:0)",0.019436895,0.042887044,0.028470215,0.358101928,0.021959456,0.202771685,0.008644648,0.017118575,0.008954837,0.006797408,0.052849259,0.010156465,0.229965398,0.010777791,0.011584153,0.136680209,0.036284898,0.012871995,0.123572371,0.013568164
CL(16:0/16:0/i-16:0/25:0),0.002500594,0.003418017,0.003156043,0.016075713,0.003408989,0.02083956,0.001598878,0.00190752,0.001079598,0.001781454,0.001697378,0.001968662,0.019692386,0.002874214,0.003577657,0.009417372,0.001094452,0.0010359,0.010097293,0.004533927
CL(16:0/16:1(9Z)/18:1(9Z)/16:0),0.005324816,0.003835662,0.002985448,0.004145213,0.0076903,0.003259317,0.004522964,0.008042735,0.008469098,0.001266264,0.006819602,0.003761107,0.002833715,0.005617946,0.050390472,0.005711846,0.014003099,0.007153883,0.004992381,0.003980971
"CL(16:0/18:0/18:2(9Z,11Z)/i-22:0)",0.016904554,0.07974731,0.02690733,0.351440868,0.057705445,0.314592392,0.004226874,0.014812708,0.00738736,0.003713084,0.051065798,0.011141054,0.215466818,0.011519684,0.016978157,0.136052369,0.031834599,0.00761652,0.149667497,0.020034491
"CL(16:0/18:2(9Z,11Z)/18:2(9Z,11Z)/23:0)",0.001734158,0.070522926,0.020286393,1.516167033,0.034397356,0.391925578,0.001091758,0.0,0.002907593,0.0,0.079614874,0.010308312,0.572935695,0.005662689,0.011817446,0.204258564,0.025643663,0.0,0.089462728,0.009866658
"CL(16:0/18:2(9Z,11Z)/18:2(9Z,11Z)/25:0)",0.004135686,0.003415941,0.016420612,0.037934692,0.010710544,0.007654505,0.008424263,0.002571025,0.010792958,0.0,0.004056646,0.004250004,0.032090931,0.004160909,0.004573862,0.006279536,0.008759239,0.009385637,0.004838607,0.005008352
CL(16:1(9Z)/18:0/16:1(9Z)/16:1(9Z)),0.003784619,0.00183789,0.013307213,0.000598248,0.00069634,4.05894e-05,0.012002289,0.000404748,0.004178864,0.010528751,0.028321493,0.006765527,0.000751637,0.017394255,0.147256008,0.036499754,0.036816845,0.000891521,0.002876872,0.01350193
CL(18:0/16:0/18:0/18:1(11Z)),0.003682119,0.023101753,0.009456462,0.118320052,0.022257525,0.133752758,0.006440033,0.004122335,0.001849122,0.001500081,0.028724355,0.005040468,0.184093127,0.003882499,0.001870357,0.047974068,0.015474152,0.003620525,0.176233032,0.00890781
"CL(18:0/18:1(11Z)/18:0/18:2(9Z,12Z))",0.002970612,0.022253817,0.004117448,0.050336695,0.010373611,0.037147833,0.001402375,0.001960212,0.001237423,0.002050648,0.016809708,0.003845455,0.161065037,0.003054368,0.002541867,0.026149513,0.007975991,0.0,0.182762273,0.007039303
"CL(18:1(9Z)/16:1(9Z)/18:2(9Z,12Z)/18:1(11Z))",0.000899252,0.001066969,0.000501965,0.0369555,0.002069708,0.029950412,0.000475316,0.001209262,0.001124445,0.000929487,0.003121205,0.001593609,0.005683158,0.000417771,0.001087932,0.021168836,0.001037636,0.001258963,0.019789894,0.000523496
"CL(18:1(9Z)/16:1(9Z)/18:2(9Z,12Z)/18:1(9Z))",0.001374067,0.000504738,0.00296469,0.000105832,0.000151631,0.000107821,0.002036505,0.0,0.001736061,0.002624126,0.001514189,0.001088271,0.000537659,0.002477433,0.022387492,0.005747157,0.002747725,0.000260309,0.001123965,0.001354134
"CL(18:1(9Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/18:1(9Z))",0.001130088,0.000212874,0.001181686,7.22272e-05,0.000127842,0.000278004,0.000352101,5.20154e-05,0.001248379,0.002240339,0.001309456,0.000417266,0.002398568,0.002745449,0.004819314,0.001274756,0.001408696,0.000601255,0.000249758,0.003248635
CL(8:0/21:0/21:0/a-21:0),0.022591653,0.133833856,0.017405563,0.845339072,0.075627208,0.936339293,0.01044155,0.041046051,0.004195677,0.00353809,0.105656955,0.016914879,0.699654397,0.011555947,0.021821877,0.394151458,0.072131756,0.017046735,0.277277501,0.016216013
CL(8:0/a-21:0/a-21:0/i-21:0),0.040711444,0.188440881,0.041255167,1.83263734,0.202130112,1.399287408,0.015886931,0.087880218,0.007821028,0.014041009,0.228308549,0.022448259,1.33570846,0.019986253,0.066680369,0.672036271,0.103212604,0.017627518,0.355208691,0.031650385
