community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	B_bin.10	B_bin.15	M_fe2_e	0.1	0.01	1	0.001
all	minimal	B_bin.10	B_bin.15	M_fe3_e	0.1	0.12	1	0.012
all	minimal	B_bin.10	B_bin.15	M_h_e	0.1	0.02	1	0.002
all	minimal	B_bin.10	B_bin.15	M_istfrnB_e	0.1	0.01	1	0.001
all	minimal	B_bin.10	B_bin.15	M_nac_e	0.1	1.0	1	0.1
all	minimal	B_bin.10	B_bin.15	M_nh4_e	0.1	0.02	1	0.002
all	minimal	B_bin.10	B_bin.17	M_coa_e	0.04	0.38	1	0.0152
all	minimal	B_bin.10	B_bin.17	M_cys__L_e	0.04	0.8	1	0.032
all	minimal	B_bin.10	B_bin.17	M_fe3_e	0.04	0.12	1	0.0048
all	minimal	B_bin.10	B_bin.17	M_h2s_e	0.04	0.17	1	0.0068000000000000005
all	minimal	B_bin.10	B_bin.17	M_h_e	0.04	0.02	1	0.0008
all	minimal	B_bin.10	B_bin.17	M_nh4_e	0.04	0.02	1	0.0008
all	minimal	B_bin.10	B_bin.17	M_o2_e	0.04	0.08	1	0.0032
all	minimal	B_bin.10	B_bin.18	M_fe2_e	0.05	0.01	1	0.0005
all	minimal	B_bin.10	B_bin.18	M_fe3_e	0.05	0.12	1	0.006
all	minimal	B_bin.10	B_bin.18	M_glyc3p_e	0.05	1.0	1	0.05
all	minimal	B_bin.10	B_bin.18	M_h2s_e	0.05	0.17	1	0.0085
all	minimal	B_bin.10	B_bin.18	M_h_e	0.05	0.02	1	0.001
all	minimal	B_bin.10	B_bin.18	M_istfrnB_e	0.05	0.01	1	0.0005
all	minimal	B_bin.10	B_bin.18	M_nh4_e	0.05	0.02	1	0.001
all	minimal	B_bin.10	B_bin.18	M_o2_e	0.05	0.08	1	0.004
all	minimal	B_bin.10	B_bin.18	M_ura_e	0.05	0.01	1	0.0005
all	minimal	B_bin.10	B_bin.20	M_fe2_e	0.44	0.01	1	0.0044
all	minimal	B_bin.10	B_bin.20	M_fe3_e	0.44	0.12	1	0.0528
all	minimal	B_bin.10	B_bin.20	M_glu__L_e	0.44	1.0	1	0.44
all	minimal	B_bin.10	B_bin.20	M_h2s_e	0.44	0.17	1	0.0748
all	minimal	B_bin.10	B_bin.20	M_h_e	0.44	0.02	1	0.0088
all	minimal	B_bin.10	B_bin.20	M_istfrnB_e	0.44	0.01	1	0.0044
all	minimal	B_bin.10	B_bin.20	M_leu__L_e	0.44	1.0	1	0.44
all	minimal	B_bin.10	B_bin.20	M_lys__L_e	0.44	0.02	1	0.0088
all	minimal	B_bin.10	B_bin.20	M_nh4_e	0.44	0.02	1	0.0088
all	minimal	B_bin.10	B_bin.20	M_ura_e	0.44	0.01	1	0.0044
all	minimal	B_bin.10	B_bin.20	M_val__L_e	0.44	1.0	1	0.44
all	minimal	B_bin.10	B_bin.21	M_cys__L_e	0.23	0.8	1	0.18400000000000002
all	minimal	B_bin.10	B_bin.21	M_fe2_e	0.23	0.01	1	0.0023
all	minimal	B_bin.10	B_bin.21	M_fe3_e	0.23	0.12	1	0.0276
all	minimal	B_bin.10	B_bin.21	M_h2s_e	0.23	0.17	1	0.0391
all	minimal	B_bin.10	B_bin.21	M_h_e	0.23	0.02	1	0.0046
all	minimal	B_bin.10	B_bin.21	M_istfrnB_e	0.23	0.01	1	0.0023
all	minimal	B_bin.10	B_bin.21	M_nac_e	0.23	1.0	1	0.23
all	minimal	B_bin.10	B_bin.21	M_nh4_e	0.23	0.02	1	0.0046
all	minimal	B_bin.10	B_bin.21	M_ura_e	0.23	0.01	1	0.0023
all	minimal	B_bin.10	B_bin.23	M_arg__L_e	0.59	0.98	1	0.5781999999999999
all	minimal	B_bin.10	B_bin.23	M_bz_e	0.59	0.04	1	0.0236
all	minimal	B_bin.10	B_bin.23	M_coa_e	0.59	0.38	1	0.22419999999999998
all	minimal	B_bin.10	B_bin.23	M_fe2_e	0.59	0.01	1	0.0059
all	minimal	B_bin.10	B_bin.23	M_fe3_e	0.59	0.12	1	0.07079999999999999
all	minimal	B_bin.10	B_bin.23	M_h2s_e	0.59	0.17	1	0.1003
all	minimal	B_bin.10	B_bin.23	M_h_e	0.59	0.02	1	0.0118
all	minimal	B_bin.10	B_bin.23	M_leu__L_e	0.59	1.0	1	0.59
all	minimal	B_bin.10	B_bin.23	M_lys__L_e	0.59	0.02	1	0.0118
all	minimal	B_bin.10	B_bin.23	M_mal__L_e	0.59	0.85	1	0.5015
all	minimal	B_bin.10	B_bin.23	M_nh4_e	0.59	0.02	1	0.0118
all	minimal	B_bin.10	B_bin.23	M_o2_e	0.59	0.08	1	0.0472
all	minimal	B_bin.10	B_bin.23	M_ura_e	0.59	0.01	1	0.0059
all	minimal	B_bin.10	B_bin.23	M_val__L_e	0.59	1.0	1	0.59
all	minimal	B_bin.10	B_bin.24	M_cytd_e	0.04	0.05	1	0.002
all	minimal	B_bin.10	B_bin.24	M_fe2_e	0.04	0.01	1	0.0004
all	minimal	B_bin.10	B_bin.24	M_fe3_e	0.04	0.12	1	0.0048
